Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
2,8,2012,76,31,32,FG,MNK
2,8,2012,77,22,24,FG,MNK
2,8,2012,78,25,26,FG,MNK
2,8,2012,79,24,28,FG,MNK
2,8,2012,80,30,35,FG,MNK
2,8,2012,81,50,65,FG,MNK
2,8,2012,82,53,49,FG,MNK
2,8,2012,83,48,46,FG,MNK
2,8,2012,84,47,51,FG,MNK
2,8,2012,85,50,41,FG,MNK
2,8,2012,86,43,38,FG,MNK
2,8,2012,87,27,31,FG,MNK
2,8,2012,88,22,24,FG,MNK
2,8,2012,89,26,24,FG,MNK
2,8,2012,90,24,25,FG,MNK
2,8,2012,91,50,49,FG,MNK
2,8,2012,92,37,33,FG,MNK
2,8,2012,93,32,38,FG,MNK
2,8,2012,94,45,34,FG,MNK
2,8,2012,95,43,42,FG,MNK
2,8,2012,96,37,38,FG,MNK
2,8,2012,97,35,30,FG,MNK
2,8,2012,98,32,27,FG,MNK
2,8,2012,99,25,25,FG,MNK
2,8,2012,100,21,23,FG,MNK
9,8,2013,1,20,16,H,"MBe, AG"
9,8,2013,2,23,22,H,"MBe, AG"
9,8,2013,3,23,20,H,"MBe, AG"
9,8,2013,4,24,25,H,"MBe, AG"
9,8,2013,5,30,24,FG,"MBe, AG"
9,8,2013,6,23,25,FG,"MBe, AG"
9,8,2013,7,22,21,FG,"MBe, AG"
9,8,2013,8,18,25,H,"MBe, AG"
9,8,2013,9,19,22,FG,"MBe, AG"
9,8,2013,10,32,30,H,"MBe, AG"
9,8,2013,11,34,22,FG,"MBe, AG"
9,8,2013,12,35,23,FG,"MBe, AG"
9,8,2013,13,24,16,FG,"MBe, AG"
9,8,2013,14,17,30,FG,"MBe, AG"
9,8,2013,15,23,17,FG,"MBe, AG"
9,8,2013,16,23,24,FG,"MBe, AG"
9,8,2013,17,24,23,H,"MBe, AG"
9,8,2013,18,24,22,FG,"MBe, AG"
9,8,2013,19,23,24,H,"MBe, AG"
9,8,2013,20,27,25,H,"MBe, AG"
9,8,2013,21,34,36,FG,"MBe, AG"
9,8,2013,22,21,27,FG,"MBe, AG"
9,8,2013,23,18,22,FG,"MBe, AG"
9,8,2013,24,15,18,FG,"MBe, AG"
9,8,2013,25,29,32,FG,"MBe, AG"
9,8,2013,26,22,16,H,"MBe, AG"
9,8,2013,27,23,23,FG,"MBe, AG"
9,8,2013,28,19,22,FG,"MBe, AG"
9,8,2013,29,26,29,FG,"MBe, AG"
9,8,2013,30,27,25,FG,"MBe, AG"
9,8,2013,31,25,37,FG,"MBe, AG"
9,8,2013,32,27,17,FG,"MBe, AG"
9,8,2013,33,19,24,H,"MBe, AG"
9,8,2013,34,23,22,H,"MBe, AG"
9,8,2013,35,26,19,H,"MBe, AG"
9,8,2013,36,24,25,H,"MBe, AG"
9,8,2013,37,23,24,FG,"MBe, AG"
9,8,2013,38,25,24,H,"MBe, AG"
